"Card Name","Card Description","Labels","Members","Due Date","Start Date","List Name","Checklist","Checklist item","Checklist item due","Checklist item member"
"","","","","","","","Acceptance Criteria","Error messages are user-friendly and specific","",""
"TF-012: Implement CV Parsing Engine (AI Integration)","Build the CV parsing service (CVParserService) that automatically extracts structured information from uploaded CV files using an AI callout. Populates parsed fields on Job_Application__c.","AI Integration (yellow)","","","","Sprint 2 - App Processing","","","",""
"","","","","","","","Acceptance Criteria","Service accepts a Job_Application__c ID and processes the attached CV","",""
"","","","","","","","Acceptance Criteria","All five extraction categories are populated on the application record","",""
"","","","","","","","Acceptance Criteria","Parsed_At__c is set to the current timestamp on success","",""
"","","","","","","","Acceptance Criteria","Parser_Version__c tracks the engine version used","",""
"","","","","","","","Acceptance Criteria","Failed parsing does not block the application — it flags it for manual review","",""
"","","","","","","","Acceptance Criteria","Callout is asynchronous (does not block the user transaction)","",""
"","","","","","","","Acceptance Criteria","Named Credential used for external API keys (no hardcoded secrets)","",""
"","","","","","","","Acceptance Criteria","Unit tests with mock callouts achieve >= 85% coverage","",""
"TF-013: Implement Relevance Score Calculation","Build the RelevanceScoreService scoring engine that computes a relevance score (0–100) for each application based on parsed CV data vs. job requirements, using a weighted scoring model.","AI Integration (yellow)","","","","Sprint 2 - App Processing","","","",""
"","","","","","","","Acceptance Criteria","Each sub-score (Skills_Match_Score__c, Experience_Score__c, Education_Score__c, Keywords_Score__c) is computed and stored","",""
"","","","","","","","Acceptance Criteria","AI_Score__c = weighted sum of sub-scores, clamped to [0, 100]","",""
"","","","","","","","Acceptance Criteria","AI_Scored_At__c is set on completion","",""
"","","","","","","","Acceptance Criteria","Score calculation is idempotent (re-running produces same result for same input)","",""
"","","","","","","","Acceptance Criteria","Service handles missing parsed data gracefully (partial scoring with warnings)","",""
"","","","","","","","Acceptance Criteria","Unit tests cover: perfect match, partial match, no match, missing data scenarios","",""
"TF-014: Implement Eliminatory Filters & Human-in-the-Loop Validation","Build the automatic filter system that checks each application against hard criteria. The platform never automatically rejects a candidate — it flags them for HR Manager review (HITL principle).","Backend (green)","","","","Sprint 2 - App Processing","","","",""
"","","","","","","","Acceptance Criteria","All four filter types are implemented and tested","",""
"","","","","","","","Acceptance Criteria","No application is auto-rejected without Filter_Review_Status__c being set by a User","",""
"","","","","","","","Acceptance Criteria","Filter_Reviewed_By__c and Filter_Reviewed_At__c are populated on review","",""
"","","","","","","","Acceptance Criteria","Filter_Rejection_Reason__c is required when rejecting","",""
"","","","","","","","Acceptance Criteria","Rejected candidates are retained in the database (not deleted) for potential talent pool","",""
"","","","","","","","Acceptance Criteria","HR Manager can reverse a rejection decision at any time","",""
"","","","","","","","Acceptance Criteria","Unit tests cover: all pass, each individual filter fail, HR approval, HR rejection, reversal","",""
"TF-015: Implement Candidate Ranking & Interview Admission","Build the CandidateRankingService that ranks filtered candidates by score and selects the top N for interview admission. N is defined by Job_Position__c.Max_Interview_Candidates__c.","Backend (green)","","","","Sprint 2 - App Processing","","","",""
"","","","","","","","Acceptance Criteria","Ranking correctly orders by AI_Score descending","",""
"","","","","","","","Acceptance Criteria","Exactly N candidates are admitted (or fewer if < N eligible)","",""
"","","","","","","","Acceptance Criteria","Waiting list positions are sequential starting from 1","",""
"","","","","","","","Acceptance Criteria","Withdrawal of an admitted candidate triggers auto-promotion","",""
"","","","","","","","Acceptance Criteria","Promoted candidate receives notification (placeholder)","",""
"","","","","","","","Acceptance Criteria","Waiting list candidates receive NO notification until promoted or recruitment closed","",""
"","","","","","","","Acceptance Criteria","Unit tests cover: normal ranking, fewer candidates than N, withdrawal + promotion, empty list","",""
"TF-016: Build Application Processing Orchestrator","Create ApplicationProcessingOrchestrator, a Queueable Apex class that chains the full automatic processing pipeline: CV Parsing -> Score Calculation -> Filter Application -> Ranking update.","Backend (green)","","","","Sprint 2 - App Processing","","","",""
"","","","","","","","Acceptance Criteria","New application submission triggers the full pipeline automatically","",""
"","","","","","","","Acceptance Criteria","Each step completes before the next begins","",""
"","","","","","","","Acceptance Criteria","Failure at any step does not block subsequent applications","",""
"","","","","","","","Acceptance Criteria","Processing status is visible to HR Manager (e.g., ""Parsing"", ""Scoring"", ""Filtering"", ""Complete"")","",""
"","","","","","","","Acceptance Criteria","Retryable on failure","",""
"","","","","","","","Acceptance Criteria","Unit tests cover: full happy path, failure at each step, retry logic","",""
"TF-017: Build HR Manager Application Review LWC","Create a Lightning Web Component for the HR Manager to review applications flagged by eliminatory filters. This is the human-in-the-loop UI where the HR Manager validates or rejects flagged candidates.","LWC (orange)","","","","Sprint 2 - App Processing","","","",""
"","","","","","","","Acceptance Criteria","Component displays all pending review applications","",""
"","","","","","","","Acceptance Criteria","Approval sets Filter_Review_Status__c = 'Approved' and clears the alert","",""
"","","","","","","","Acceptance Criteria","Rejection requires Filter_Rejection_Reason__c to be filled","",""
"","","","","","","","Acceptance Criteria","Filter_Reviewed_By__c is auto-set to the current user","",""
"","","","","","","","Acceptance Criteria","Filter_Reviewed_At__c is auto-set to current timestamp","",""
"","","","","","","","Acceptance Criteria","Bulk approve/reject works for 50+ records without timeout","",""
"","","","","","","","Acceptance Criteria","Component is accessible only to users with TF_HR_Manager permission set","",""
"","","","","","","","Acceptance Criteria","Component refreshes the list after each action","",""
"TF-018: Build Job Position Creation & Configuration LWC","Create a multi-step Lightning Web Component wizard for the HR Manager to create and configure a job position with its interview pipeline, combining the internal job sheet and offer configuration.","LWC (orange)","","","","Sprint 2 - App Processing","","","",""
"","","","","","","","Acceptance Criteria","All fields from spec §4.1 and §4.2 are present in the wizard","",""
"","","","","","","","Acceptance Criteria","Rich text editor works for Portal Description","",""
"","","","","","","","Acceptance Criteria","Pipeline configuration allows dynamic stage add/remove/reorder","",""
"","","","","","","","Acceptance Criteria","Stage weight validation: total weights sum shown with real-time feedback","",""
"","","","","","","","Acceptance Criteria","Interviewer assignment per stage via User lookup","",""
"","","","","","","","Acceptance Criteria","""Save as Draft"" creates position in Draft status","",""
"","","","","","","","Acceptance Criteria","""Publish"" validates all rules and sets status to Open","",""
"","","","","","","","Acceptance Criteria","Responsive design for standard Lightning page","",""
"TF-019: Build Candidate Application Submission LWC (Portal)","Create a Lightning Web Component for the candidate-facing portal to browse open positions and submit applications. Must only display portal-visible fields (Title, Description, Deadline).","LWC (orange)","","","","Sprint 2 - App Processing","","","",""
"","","","","","","","Acceptance Criteria","Only positions with Status = ""Open"" and Application_Deadline >= today are shown","",""
"","","","","","","","Acceptance Criteria","Department, Open_Positions, Max_Interview_Candidates are NOT displayed","",""
"","","","","","","","Acceptance Criteria","CV upload supports PDF format (validated)","",""
"","","","","","","","Acceptance Criteria","Duplicate application (same candidate + same position) shows user-friendly error","",""
"","","","","","","","Acceptance Criteria","Spontaneous application flow works without selecting a position","",""
"","","","","","","","Acceptance Criteria","Confirmation email is sent after submission (calls notification service placeholder)","",""
"","","","","","","","Acceptance Criteria","Component is accessible to Community/Experience Cloud guest or authenticated users","",""
"TF-020: Implement Interviewer Availability Management Service","Build the AvailabilityService Apex class for interviewers to manage availability slots for each interview stage. Slots must respect stage time windows and prevent double-booking.","Backend (green)","","","","Sprint 3 - Interview Pipeline","","","",""
"","","","","","","","Acceptance Criteria","Slots outside the stage window are rejected with clear error","",""
"","","","","","","","Acceptance Criteria","Overlapping slots for the same interviewer are rejected","",""
"","","","","","","","Acceptance Criteria","getAvailableSlots excludes booked slots (Is_Booked__c = true)","",""
"","","","","","","","Acceptance Criteria","Cancelling a booked slot triggers the interviewer unavailability flow (TF-024)","",""
"","","","","","","","Acceptance Criteria","Bulk creation handles 100+ slots in a single transaction","",""
"","","","","","","","Acceptance Criteria","Unit tests >= 90% coverage with edge cases: boundary dates, overlapping times, cancellation","",""
"TF-021: Implement Candidate Self-Scheduling Service","Build the SchedulingService Apex class that powers candidate self-scheduling. Includes cross-offer conflict detection to prevent a candidate from having two simultaneous interviews.","Backend (green)","","","","Sprint 3 - Interview Pipeline","","","",""
"","","","","","","","Acceptance Criteria","Only unbooked slots within the stage window are returned","",""
"","","","","","","","Acceptance Criteria","Slots conflicting with candidate's other interviews are excluded","",""
"","","","","","","","Acceptance Criteria","Booking is atomic — slot and interview are created in the same transaction","",""
"","","","","","","","Acceptance Criteria","Double-booking the same slot by two candidates is prevented (optimistic locking)","",""
"","","","","","","","Acceptance Criteria","Rescheduling is allowed up to 24h before the scheduled time","",""
"","","","","","","","Acceptance Criteria","Rescheduling releases the old slot and books the new one atomically","",""
"","","","","","","","Acceptance Criteria","Interview__c.Rescheduled_From__c / Rescheduled_To__c are linked on reschedule","",""
"","","","","","","","Acceptance Criteria","Cancellation releases the slot and sets interview status to ""Cancelled""","",""
"","","","","","","","Acceptance Criteria","Unit tests cover: booking, conflict detection, reschedule, cancel, race condition","",""
"TF-022: Implement Scheduling Reminder & Escalation Automation","Build time-based automations: 48h reminder if candidate hasn't scheduled, 72h escalation to HR Manager, and 24h lock preventing rescheduling before the interview.","Backend (green)","","","","Sprint 3 - Interview Pipeline","","","",""
"","","","","","","","Acceptance Criteria","48h reminder email is sent to candidates who haven't booked","",""
"","","","","","","","Acceptance Criteria","72h escalation creates a Task for the HR Manager with candidate details","",""
"","","","","","","","Acceptance Criteria","Rescheduling is blocked within 24h of the interview (service validates)","",""
"","","","","","","","Acceptance Criteria","Batch handles thousands of records without governor limits","",""
"","","","","","","","Acceptance Criteria","Reminder is sent only once per interview","",""
"","","","","","","","Acceptance Criteria","Escalation is sent only once per interview","",""
"","","","","","","","Acceptance Criteria","Unit tests cover: all time thresholds, boundary conditions, already-booked scenarios","",""
"TF-023: Implement Interview Pipeline Progression Service","Build the PipelineProgressionService managing candidate advancement through interview stages. A candidate progresses only when BOTH conditions are met: score >= threshold AND interviewer validates.","Backend (green)","","","","Sprint 3 - Interview Pipeline","","","",""
"","","","","","","","Acceptance Criteria","Progression requires BOTH score threshold AND explicit interviewer approval","",""
"","","","","","","","Acceptance Criteria","Missing either condition results in elimination","",""
"","","","","","","","Acceptance Criteria","Next stage interview is created automatically with Status ""Pending_Scheduling""","",""
"","","","","","","","Acceptance Criteria","Candidate reaching the last stage enters ""Final_Review""","",""
"","","","","","","","Acceptance Criteria","Eliminated candidates' records are preserved for talent pool","",""
"","","","","","","","Acceptance Criteria","Email notification sent for both advancement and elimination","",""
"","","","","","","","Acceptance Criteria","Unit tests cover: advance, eliminate (score fail), eliminate (no approval), last stage completion","",""
"TF-024: Implement Interviewer Unavailability & Substitution Logic","Build the substitution logic for when an interviewer becomes unavailable after a confirmed interview. Platform first attempts automatic substitution, then escalates to HR Manager.","Backend (green)","","","","Sprint 3 - Interview Pipeline","","","",""
"","","","","","","","Acceptance Criteria","Automatic substitution attempts all other stage team members","",""
"","","","","","","","Acceptance Criteria","If substitution succeeds, candidate is notified with new scheduling link","",""
"","","","","","","","Acceptance Criteria","If substitution fails, HR Manager receives an urgent alert","",""
"","","","","","","","Acceptance Criteria","Original interview is cancelled with Cancellation_Reason__c populated","",""
"","","","","","","","Acceptance Criteria","Auto_Reassigned__c flag correctly set on the new interview","",""
"","","","","","","","Acceptance Criteria","The candidate's slot conflict check still applies for the new booking","",""
"","","","","","","","Acceptance Criteria","Unit tests cover: successful substitution, no substitute available, multiple affected interviews","",""
"TF-025: Build Interviewer Availability Management LWC","Create a Lightning Web Component for interviewers to manage availability slots. Includes a calendar view across all assigned stages, slot creation, and unavailability marking.","LWC (orange)","","","","Sprint 3 - Interview Pipeline","","","",""
"","","","","","","","Acceptance Criteria","Calendar displays slots across all assigned stages","",""
"","","","","","","","Acceptance Criteria","New slots respect stage window boundaries (visual + backend validation)","",""
"","","","","","","","Acceptance Criteria","Overlapping slot creation is prevented with user-friendly error","",""
"","","","","","","","Acceptance Criteria","Booked slots are visually distinct and non-deletable","",""
"","","","","","","","Acceptance Criteria","""Mark unavailable"" on a booked slot confirms the action and triggers TF-024","",""
"","","","","","","","Acceptance Criteria","Component is responsive and works in Lightning Experience","",""
"","","","","","","","Acceptance Criteria","Only accessible to users with TF_Interviewer permission set","",""
"TF-026: Build Candidate Self-Scheduling LWC (Portal)","Create a Lightning Web Component for the candidate-facing portal enabling self-service interview scheduling. Shows available slots, handles booking confirmation, rescheduling, and cancellation.","LWC (orange)","","","","Sprint 3 - Interview Pipeline","","","",""
"","","","","","","","Acceptance Criteria","Only available, non-conflicting slots are shown","",""
"","","","","","","","Acceptance Criteria","Selecting a slot shows a confirmation dialog before booking","",""
"","","","","","","","Acceptance Criteria","After confirmation, slot is immediately locked (other candidates see it as unavailable)","",""
"","","","","","","","Acceptance Criteria","Confirmation email is triggered for both candidate and interviewer","",""
"","","","","","","","Acceptance Criteria","Reschedule option available until 24h before, then disabled","",""
"","","","","","","","Acceptance Criteria","Cancel option available with confirmation dialog","",""
"","","","","","","","Acceptance Criteria","Component works in Experience Cloud (Community)","",""
"","","","","","","","Acceptance Criteria","Handles concurrent booking attempts gracefully (shows error if slot was just taken)","",""
"TF-027: Build Interview Pipeline Kanban View LWC (HR Manager)","Create a Kanban-style Lightning Web Component for the HR Manager to visualize and manage the interview pipeline for a specific job position, with candidates as cards across stage columns.","LWC (orange)","","","","Sprint 3 - Interview Pipeline","","","",""
"","","","","","","","Acceptance Criteria","All stages for the selected position are displayed as columns","",""
"","","","","","","","Acceptance Criteria","Candidates are placed in the correct column based on their current interview stage","",""
"","","","","","","","Acceptance Criteria","Card displays key info: name, score, interview date, status","",""
"","","","","","","","Acceptance Criteria","Clicking a card navigates to the application detail","",""
"","","","","","","","Acceptance Criteria","Column headers show candidate count","",""
"","","","","","","","Acceptance Criteria","Real-time refresh when data changes (Platform Events or polling)","",""
"","","","","","","","Acceptance Criteria","Accessible only to TF_HR_Manager permission set","",""
"TF-028: Implement AI Interview Preparation Service","Build InterviewPrepService to auto-generate an AI-powered preparation dossier for each interviewer when an interview is scheduled, including candidate summary, strengths, gaps, and suggested questions.","AI Integration (yellow)","","","","Sprint 4 - Evaluation & Offers","","","",""
"","","","","","","","Acceptance Criteria","Preparation dossier is generated when interview status changes to ""Scheduled""","",""
"","","","","","","","Acceptance Criteria","All five dossier sections are populated","",""
"","","","","","","","Acceptance Criteria","Questions account for the stage type (HR questions for HR stage, technical for tech stage)","",""
"","","","","","","","Acceptance Criteria","For stages 2+, previous interview notes/scores are factored into question generation","",""
"","","","","","","","Acceptance Criteria","Dossier is viewable by the assigned interviewer only","",""
"","","","","","","","Acceptance Criteria","AI callout uses Named Credential (no hardcoded keys)","",""
"","","","","","","","Acceptance Criteria","Graceful failure: if AI call fails, interviewer sees ""Preparation unavailable"" message","",""
"","","","","","","","Acceptance Criteria","Unit tests with mock callouts >= 85% coverage","",""
"TF-029: Implement AI Real-Time Interview Notes Service","Build the optional AI note-taking assistant (InterviewNotesService) that captures key points during an interview session in real-time. Opt-in only — interviewers must activate it.","AI Integration (yellow)","","","","Sprint 4 - Evaluation & Offers","","","",""
"","","","","","","","Acceptance Criteria","Note capture is opt-in (not auto-activated)","",""
"","","","","","","","Acceptance Criteria","AI identifies competencies mentioned and behavioral signals","",""
"","","","","","","","Acceptance Criteria","Structured summary is generated at session end","",""
"","","","","","","","Acceptance Criteria","Interviewer can modify the AI summary before final save","",""
"","","","","","","","Acceptance Criteria","AI notes are stored separately from interviewer's manual notes (AI_Notes__c vs Notes__c)","",""
"","","","","","","","Acceptance Criteria","Service handles session interruptions gracefully","",""
"","","","","","","","Acceptance Criteria","Unit tests cover: activation, input processing, summary generation, rejection","",""
"TF-030: Implement Post-Interview Evaluation Service","Build the service handling the interviewer's post-interview evaluation submission: score, recommendation, notes, and explicit advancement decision. Triggers pipeline progression.","Backend (green)","","","","Sprint 4 - Evaluation & Offers","","","",""
"","","","","","","","Acceptance Criteria","Score validation ensures value <= stage's Max_Score","",""
"","","","","","","","Acceptance Criteria","All four evaluation fields must be filled (validation)","",""
"","","","","","","","Acceptance Criteria","AI_Score_Suggestion__c is displayed as a suggestion but not pre-filled in Score__c","",""
"","","","","","","","Acceptance Criteria","Interview status transitions from ""In_Progress"" or ""Scheduled"" to ""Completed""","",""
"","","","","","","","Acceptance Criteria","Pipeline progression is triggered automatically after evaluation save","",""
"","","","","","","","Acceptance Criteria","Evaluation is editable by the interviewer for 24h after submission, then locked","",""
"","","","","","","","Acceptance Criteria","Unit tests cover: valid submission, score over max, missing fields, auto-progression trigger","",""
"TF-031: Implement Final Score Calculation Service","Build FinalScoreService to calculate the final composite score once a candidate completes all interview stages, combining the initial relevance score and all interview scores with configurable weights.","Backend (green)","","","","Sprint 4 - Evaluation & Offers","","","",""
"","","","","","","","Acceptance Criteria","Score is computed correctly using the weighted formula","",""
"","","","","","","","Acceptance Criteria","Individual interview scores are normalized to 0–100 before weighting","",""
"","","","","","","","Acceptance Criteria","Interview_Score__c stores the weighted sum of interview-only scores","",""
"","","","","","","","Acceptance Criteria","Final_Score__c stores the complete composite score","",""
"","","","","","","","Acceptance Criteria","Calculation fails gracefully if a stage has no completed interview","",""
"","","","","","","","Acceptance Criteria","Unit tests with multiple scenarios: 2-stage, 3-stage, different weight configs","",""
"TF-032: Implement Final Selection & Status Assignment Service","Build SelectionService for the final selection phase. HR Manager triggers finalization; the platform ranks candidates by final score and assigns Selected, Waitlisted, or Not_Retained statuses.","Backend (green)","","","","Sprint 4 - Evaluation & Offers","","","",""
"","","","","","","","Acceptance Criteria","Only HR Manager can trigger finalization","",""
"","","","","","","","Acceptance Criteria","Ranking is strictly by Final_Score descending","",""
"","","","","","","","Acceptance Criteria","Exactly N candidates are selected (or fewer if pool is smaller)","",""
"","","","","","","","Acceptance Criteria","Waiting list is properly ordered with sequential positions","",""
"","","","","","","","Acceptance Criteria","Selected candidates receive acceptance notification","",""
"","","","","","","","Acceptance Criteria","Not-retained candidates are notified with respectful message","",""
"","","","","","","","Acceptance Criteria","Waitlisted candidates are NOT notified","",""
"","","","","","","","Acceptance Criteria","Decision_Date__c is set on all applications","",""
"","","","","","","","Acceptance Criteria","Unit tests: normal selection, fewer candidates than quota, tie-breaking scenario","",""
"TF-033: Implement Offer Lifecycle Management Service","Build the service managing accepted candidates' lifecycle: Sent -> Negotiating -> Signed -> Expired -> Cancelled. Includes automatic reclassification from the waiting list when an offer expires or is cancelled.","Backend (green)","","","","Sprint 4 - Evaluation & Offers","","","",""
"","","","","","","","Acceptance Criteria","All status transitions follow the defined state machine","",""
"","","","","","","","Acceptance Criteria","Invalid transitions are rejected (e.g., Signed -> Negotiating)","",""
"","","","","","","","Acceptance Criteria","Offer includes a configurable signature deadline","",""
"","","","","","","","Acceptance Criteria","Expired offers trigger automatic promotion of next waitlisted candidate","",""
"","","","","","","","Acceptance Criteria","Cancelled offers trigger automatic promotion","",""
"","","","","","","","Acceptance Criteria","Filled_Positions__c increments on each ""Signed"" transition","",""
"","","","","","","","Acceptance Criteria","When Filled_Positions__c reaches Desired_Hires__c, position auto-closes","",""
"","","","","","","","Acceptance Criteria","Unit tests cover: full lifecycle, expiration + reclassification, cancellation, position closure","",""
"TF-034: Build Interviewer Evaluation LWC","Create a Lightning Web Component for interviewers to submit post-interview evaluations. Includes the AI preparation dossier, score input, AI suggestion display, recommendation, and advancement toggle.","LWC (orange)","","","","Sprint 4 - Evaluation & Offers","","","",""
"","","","","","","","Acceptance Criteria","Preparation dossier is displayed before/during the interview","",""
"","","","","","","","Acceptance Criteria","AI score suggestion is shown but does NOT pre-fill the score field","",""
"","","","","","","","Acceptance Criteria","Score field validates against stage's Max_Score in real-time","",""
"","","","","","","","Acceptance Criteria","Warning shown if contradictory signals (low score + advance, high score + no advance)","",""
"","","","","","","","Acceptance Criteria","AI notes are editable before submission","",""
"","","","","","","","Acceptance Criteria","After submission, pipeline progression feedback is immediate (toast notification)","",""
"","","","","","","","Acceptance Criteria","Only the assigned interviewer can access this component for their interviews","",""
"TF-035: Build Final Selection & Offer Management LWC (HR Manager)","Create a Lightning Web Component for the HR Manager to conduct final selection and manage the offer lifecycle, including ranked candidate list, offer status tracking, reclassification panel, and position fill counter.","LWC (orange)","","","","Sprint 4 - Evaluation & Offers","","","",""
"","","","","","","","Acceptance Criteria","Candidates ranked by final score with full score breakdown visible","",""
